src_corridor,tgt_corridor,src_day,tgt_day,attention,edge_type
Mbankomo,Mbankomo,Friday,Saturday,0.206849,temporal
Mbankomo,Mbankomo,Friday,Thursday,0.220564,temporal
Mbankomo,Mfou,Friday,Friday,0.249535,spatial
Mbankomo,Soa,Friday,Friday,0.264454,spatial
Mbankomo,Mbankomo,Monday,Tuesday,0.218209,temporal
Mbankomo,Mfou,Monday,Monday,0.301129,spatial
Mbankomo,Soa,Monday,Monday,0.310505,spatial
Mbankomo,Mbankomo,Saturday,Friday,0.241235,temporal
Mbankomo,Mfou,Saturday,Saturday,0.263687,spatial
Mbankomo,Soa,Saturday,Saturday,0.285501,spatial
Mbankomo,Mbankomo,Saturday,Sunday,0.304036,temporal
Mbankomo,Mbankomo,Thursday,Friday,0.211806,temporal
Mbankomo,Mbankomo,Thursday,Wednesday,0.21925,temporal
Mbankomo,Mfou,Thursday,Thursday,0.248716,spatial
Mbankomo,Soa,Thursday,Thursday,0.264596,spatial
Mbankomo,Mbankomo,Tuesday,Monday,0.281056,temporal
Mbankomo,Mbankomo,Tuesday,Wednesday,0.21824,temporal
Mbankomo,Mfou,Tuesday,Tuesday,0.246085,spatial
Mbankomo,Soa,Tuesday,Tuesday,0.257591,spatial
Mbankomo,Mbankomo,Wednesday,Thursday,0.217758,temporal
Mbankomo,Mbankomo,Wednesday,Tuesday,0.218698,temporal
Mbankomo,Mfou,Wednesday,Wednesday,0.248464,spatial
Mbankomo,Soa,Wednesday,Wednesday,0.260765,spatial
Mfou,Mbankomo,Friday,Friday,0.175203,spatial
Mfou,Mfou,Friday,Saturday,0.189422,temporal
Mfou,Mfou,Friday,Thursday,0.208287,temporal
Mfou,Soa,Friday,Friday,0.197879,spatial
Mfou,Mbankomo,Monday,Monday,0.227243,spatial
Mfou,Mfou,Monday,Tuesday,0.19596,temporal
Mfou,Soa,Monday,Monday,0.242443,spatial
Mfou,Mbankomo,Saturday,Saturday,0.176414,spatial
Mfou,Mfou,Saturday,Friday,0.209248,temporal
Mfou,Soa,Saturday,Saturday,0.203726,spatial
Mfou,Mfou,Saturday,Sunday,0.251977,temporal
Mfou,Mbankomo,Thursday,Thursday,0.177323,spatial
Mfou,Mfou,Thursday,Friday,0.178618,temporal
Mfou,Mfou,Thursday,Wednesday,0.191397,temporal
Mfou,Soa,Thursday,Thursday,0.194237,spatial
Mfou,Mbankomo,Tuesday,Tuesday,0.178702,spatial
Mfou,Mfou,Tuesday,Monday,0.240557,temporal
Mfou,Mfou,Tuesday,Wednesday,0.194577,temporal
Mfou,Soa,Tuesday,Tuesday,0.197129,spatial
Mfou,Mbankomo,Wednesday,Wednesday,0.178513,spatial
Mfou,Mfou,Wednesday,Thursday,0.188563,temporal
Mfou,Mfou,Wednesday,Tuesday,0.191466,temporal
Mfou,Soa,Wednesday,Wednesday,0.195866,spatial
Soa,Mbankomo,Friday,Friday,0.159398,spatial
Soa,Mfou,Friday,Friday,0.164124,spatial
Soa,Soa,Friday,Saturday,0.172264,temporal
Soa,Soa,Friday,Thursday,0.181366,temporal
Soa,Mbankomo,Monday,Monday,0.211128,spatial
Soa,Mfou,Monday,Monday,0.214934,spatial
Soa,Soa,Monday,Tuesday,0.181473,temporal
Soa,Mbankomo,Saturday,Saturday,0.161421,spatial
Soa,Mfou,Saturday,Saturday,0.170197,spatial
Soa,Soa,Saturday,Friday,0.186926,temporal
Soa,Soa,Saturday,Sunday,0.222623,temporal
Soa,Mbankomo,Thursday,Thursday,0.165153,spatial
Soa,Mfou,Thursday,Thursday,0.167339,spatial
Soa,Soa,Thursday,Friday,0.174863,temporal
Soa,Soa,Thursday,Wednesday,0.181774,temporal
Soa,Mbankomo,Tuesday,Tuesday,0.165863,spatial
Soa,Mfou,Tuesday,Tuesday,0.172803,spatial
Soa,Soa,Tuesday,Monday,0.223708,temporal
Soa,Soa,Tuesday,Wednesday,0.180694,temporal
Soa,Mbankomo,Wednesday,Wednesday,0.165595,spatial
Soa,Mfou,Wednesday,Wednesday,0.172648,spatial
Soa,Soa,Wednesday,Thursday,0.179475,temporal
Soa,Soa,Wednesday,Tuesday,0.182015,temporal
Mbankomo,Mbankomo,Sunday,Saturday,0.221442,temporal
Mbankomo,Mfou,Sunday,Sunday,0.317665,spatial
Mbankomo,Soa,Sunday,Sunday,0.336936,spatial
Mfou,Mfou,Sunday,Saturday,0.181202,temporal
Mfou,Mbankomo,Sunday,Sunday,0.219315,spatial
Mfou,Soa,Sunday,Sunday,0.246425,spatial
Soa,Soa,Sunday,Saturday,0.16088,temporal
Soa,Mbankomo,Sunday,Sunday,0.187238,spatial
Soa,Mfou,Sunday,Sunday,0.19627,spatial
