feature,rf_importance,gat_sensitivity
Max Congestion Index,0.2699634868576316,3.4290133
Avg Congestion Index,0.24042169420108642,7.532934
Pct Stretches Congested,0.13972344302545495,4.8181276
Total Emission (kg),0.11788804637063784,4.4616036
Day of Week,0.07117989286430339,2.5433385
Total Daily Vehicles,0.04939079760742886,1.5029696
Is Weekend,0.04415289675713553,13.47222
Peak Hour Vehicles,0.03685225242034065,3.252567
Transport Cost Burden (%),0.009354433619252915,1.3920444
Corridor,0.005889174433940599,2.2912903
Avg Trip Duration (min),0.004874268896458428,1.9210067
Pct Moto-Taxi,0.004690851321545847,3.5367963
Pct Private Car,0.0042511385980361,3.846907
Pct Minibus,0.001367623026747005,2.7683723
